Ticket ID,HS Customer,Subject,Source,Type,Weight,Created time,Initial response time,Resolved time,First response time (in hrs),Resolution time (in hrs),Agent interactions,Customer interactions
786,18,MISSING E-TICKET ,Portal,Software Problem / Issue,3,6/24/2019 12:25,6/24/2019 14:33,6/25/2019 8:17,2:08:28,4:52:23,1,1
787,16,Re: void tickets,Email,Software Problem / Issue,3,6/24/2019 12:47,,6/24/2019 15:19,0:00:00,2:32:31,0,2
791,34,RE: Custom Reports,Email,Feature Request,3,6/25/2019 10:41,6/25/2019 12:00,7/22/2019 13:47,1:19:06,165:06:41,2,2
792,41,DATE FILTER,Portal,Feature Request,1,6/25/2019 14:42,,7/1/2019 9:07,0:00:00,30:25:27,0,1
794,18,Re: Bison Dropbox,Email,General Question,2,6/26/2019 13:12,6/26/2019 13:52,6/28/2019 8:05,0:39:39,12:52:15,1,1
795,4,Re: DSS,Email,Software Problem / Issue,2,6/26/2019 13:29,6/26/2019 13:48,7/22/2019 13:49,0:19:14,153:19:58,4,3
797,41,INVOICES,Portal,Software Problem / Issue,4,6/26/2019 17:50,6/27/2019 7:13,6/28/2019 8:05,0:00:00,9:05:40,1,2
799,41,Multiple Disposal Issue,Email,Feature Request,3,6/27/2019 9:16,6/27/2019 9:54,8/5/2019 14:49,0:38:22,239:33:05,2,2
801,10,Re: Is ticketing standing between you and payday? [Free guide inside!],Email,General Question,2,6/27/2019 19:51,6/28/2019 9:13,7/22/2019 13:50,1:13:30,140:50:12,1,2
802,24,ITEM CATEGORY ADDITION,Portal,Data Entry Support,3,6/28/2019 8:07,6/28/2019 8:24,6/28/2019 10:14,0:17:13,2:07:01,2,3
803,19,Hauling Software Disposal,Email,Data Entry Support,3,6/28/2019 9:09,6/28/2019 9:34,6/28/2019 10:13,0:25:01,1:04:12,1,2
804,41,Service Work Invoice,Email,General Question,3,6/28/2019 9:16,,6/28/2019 11:18,0:00:00,2:02:00,0,1
805,41,Multiple Disposal Invoice,Email,General Question,3,6/28/2019 9:19,,6/28/2019 11:18,0:00:00,1:59:00,0,1
806,18,Longhorn EOG,Email,General Question,4,6/28/2019 12:15,6/28/2019 14:27,7/1/2019 9:55,2:12:24,6:40:39,1,2
807,41,Mewbourne Leases,Email,Feature Request,2,6/30/2019 16:25,,7/2/2019 10:47,0:00:00,11:47:17,0,1
814,20,Lagoon Water Solutions - Undispatched Dispatch Order Number - #1670242,Email,General Question,2,7/3/2019 13:37,7/3/2019 14:01,7/8/2019 8:52,0:23:57,13:14:34,1,1
